"Name","Version","FirstDate","FirstBucket","LastDate","LastBucket","Description"
"busybox-chmod","1.0-shim-only","2023-01-11T00:28:58Z","x-magic/scoop-bucket","2023-02-06T17:07:28Z","anderlli0053/DEV-tools","This is a shim-only manifest for BusyBox"
"busybox-cksum","1.0-shim-only","2023-01-11T00:28:58Z","x-magic/scoop-bucket","2023-02-06T17:07:28Z","anderlli0053/DEV-tools","This is a shim-only manifest for BusyBox"
"busybox-clear","1.0-shim-only","2023-01-11T00:28:58Z","x-magic/scoop-bucket","2023-02-06T17:07:28Z","anderlli0053/DEV-tools","This is a shim-only manifest for BusyBox"
"busybox-cmp","1.0-shim-only","2023-01-11T00:28:58Z","x-magic/scoop-bucket","2023-02-06T17:07:28Z","anderlli0053/DEV-tools","This is a shim-only manifest for BusyBox"
"busybox-comm","1.0-shim-only","2023-01-11T00:28:58Z","x-magic/scoop-bucket","2023-02-06T17:07:28Z","anderlli0053/DEV-tools","This is a shim-only manifest for BusyBox"
"busybox-cp","1.0-shim-only","2023-01-11T00:28:58Z","x-magic/scoop-bucket","2023-02-06T17:07:28Z","anderlli0053/DEV-tools","This is a shim-only manifest for BusyBox"
"busybox-cpio","1.0-shim-only","2023-01-11T00:28:58Z","x-magic/scoop-bucket","2023-02-06T17:07:28Z","anderlli0053/DEV-tools","This is a shim-only manifest for BusyBox"
"busybox-cut","1.0-shim-only","2023-01-11T00:28:58Z","x-magic/scoop-bucket","2023-02-06T17:07:28Z","anderlli0053/DEV-tools","This is a shim-only manifest for BusyBox"
"busybox-date","1.0-shim-only","2023-01-11T00:28:58Z","x-magic/scoop-bucket","2023-02-06T17:07:28Z","anderlli0053/DEV-tools","This is a shim-only manifest for BusyBox"
"busybox-dc","1.0-shim-only","2023-01-11T00:28:58Z","x-magic/scoop-bucket","2023-02-06T17:07:28Z","anderlli0053/DEV-tools","This is a shim-only manifest for BusyBox"
"busybox-dd","1.0-shim-only","2023-01-11T00:28:58Z","x-magic/scoop-bucket","2023-02-06T17:07:28Z","anderlli0053/DEV-tools","This is a shim-only manifest for BusyBox"
"busybox-df","1.0-shim-only","2023-01-11T00:28:58Z","x-magic/scoop-bucket","2023-02-06T17:07:28Z","anderlli0053/DEV-tools","This is a shim-only manifest for BusyBox"
"busybox-diff","1.0-shim-only","2023-01-11T00:28:58Z","x-magic/scoop-bucket","2023-02-06T17:07:28Z","anderlli0053/DEV-tools","This is a shim-only manifest for BusyBox"
